url,type
http://dbs.vote-friend.com/sg?ref=anything,phishing
https://www.reynoldstransfer.com/versa-lift-fork-truck/,benign
https://www.halisupportservice.com/Login.php,phishing
https://www.signets.com.br/wp-includes/wlwmanifest.xml,benign
https://docs.google.com/document/d/e/2PACX-1vTS9czxqyCsGi-QUifs7m1MqJZMLCjLcCNhW3DsaHdss5ymnPy6y0VSGwvF3pIu6js22Ydjyew1OyO_/pub?embedded=true,phishing
https://www.iwestco.com/virtual-consult/,benign
https://is.gd/N19JOz,phishing
https://httpsservices.runescape.com-ov.ru/,phishing
https://viandjo.com/website/membership/service/billing.php?SessionID-xb=NL.=.3754672._.4d1d7fa8d72fb5318fdf3baed95a10e7.=.Netherlands,phishing
https://www.millect.com/Plans/tabid/76/Default.aspx,benign
https://www.sttas.com/,benign
https://facebookcase1477777.web.app/appeal.html,phishing
https://www.cytranet.com/category/blog/index.html,benign
https://oximedica.com/wp-includes/imgs/att.php,phishing
http://myetherwallets.kr/wallet,phishing
https://pervouralsk.interra.ru/,benign
https://06ac1c2f55d2f5e45de07cd8f199a561-dot-gle9392420309493993.rj.r.appspot.com/,phishing
https://www.bright-group.ru/team/,benign
http://secure285.inmotionhosting.com/~opendo31/monescpace/lcl/request.html,phishing
https://www.copyright.com/,benign
https://www.inner-calm.co.uk/,benign
https://linktr.ee/Midasbuyvip,phishing
http://abbeyroadmoron.com/fonts/Covid-19/ali1/ali/login.php,phishing
https://www.organicgourmetbcn.com/,benign
https://www.three-f.co.jp/contact/,benign
https://www.keramidaslaw.com/auto-insurance-defense-lawyer/,benign
https://olx.bolxgift.online,phishing
https://www.hitachi.com/New/cnews/index.html,benign
https://www.epcollab.org/,benign
https://www.spokanecounty.org/9/How-Do-I,benign
http://jwrmdctbhstpklcdvbfgznhkii-dot-gle39404049.rj.r.appspot.com/,phishing
https://www.trilife.space/com/images/secure/online/fulls.php,phishing
https://ezreadtampcraez.com/jp/aol.html?email=jdoe1@emailhost.c,phishing
https://bit.ly/2R7AugZ,phishing
https://www.vgsi.com/taxpayer-info/,benign
https://www.devastudios.com/work,benign
https://www.factoryautomation.com/cpanel,benign
https://olx.pl-savedpay.xyz/delivery/351502756,phishing
http://grandmarketltd.co.uk/wp-includes/inozfoZ/noande/paypal/59c0d7ceb90328d92e80f4e1f3646b99/view/surf2.php,phishing
https://www.audiblemagic.com/article-17/,benign
https://uniswap.walletsconnectors.com/swap.html#/swap,phishing
https://odumzat.cn/pc/MUFG_pcselectcard.html,phishing
http://cambodiatraining.com/redirect/,phishing
https://www.recipient-authorisation-secure.com/Login.php,phishing
https://www.parksjones.com/educational-videos/,benign
https://drive.google.com/file/d/1ik3UxH3RDigwAr7D269WVkoWp17Cci1n/edit,phishing
http://kinstationery.com/4tr/login.php?ul=_LkeFUq_VJOXRTIPtoGYDw17dsfsfd18&fid.18InboxLight.aspxn.1774256418&fid.1r245964252813InboxLight94552_Product-email&email=nobody@mycraftmail.com,phishing
https://services.oldschool.com-12.ru/m=forum/forums.ws4877492211802836667223,phishing
https://www.sjoukedijkstra.nl/infra/straatwerk,benign
https://www.therapie-weidenhof.at/de/aktuelles/,benign
https://www.isamayy.com/oro/,phishing
https://www.southerncef.org/html/promotional_materials.html,benign
http://ckkfecwxlhzlisryjywxsjdpsp-dot-gle39404049.rj.r.appspot.com/,phishing
https://www.megamidia.com.br/live-content/,benign
https://bit.ly/2TcKWEr,phishing
https://koshiki-roguinamazn.myvnc.com/L5sMnlT,phishing
https://cms.tournet.com/Vendor_subscriptions/Subscriptions.html,benign
http://banking.sparkasse.de-id1897ajjes9021ucnds2130213454345b0juah104zb1092uhda.xyz/spkk/,phishing
https://www.vptrend.cz/kategorie_vyplni/020-klasicke/,benign
https://gruppovis.it/landing-page/ford-kuga-plug-in-hybrid/,benign
https://clouddoc-authorize.firebaseapp.com/...xxx........./......,phishing
http://demo.bradescocontrol.vertitecnologia.com.br/usuarios/sign_in,phishing
https://www.jetair.co.uk/aircraft-charter/oil-gas-marine/crew-rotation-charters,benign
https://ip-72-167-35-191.ip.secureserver.net/SWISS/b1fcf79f9e74cf0d040b2192800da433/,phishing
http://vetec-eu.net/bper/proces.php,phishing
https://switch.com.kw/.kw/,phishing
https://olx.pl.oferta-payment.works/get/?id=47321339,phishing
http://ht.ly/dBqF30qSyYt,phishing
https://whitefordkenworth-my.sharepoint.com/personal/bwalters_lglk_com/_layouts/15/Doc.aspx?sourcedoc={1d96cb1e-0031-41b8-8774-24bb2f7c4caa}&amp;action=default&amp;slrid=9ebb659f-7054-a000-b19b-7cb962889fc8&amp;originalPath=aHR0cHM6Ly93aGl0ZWZvcmRrZW53b3J0aC1teS5zaGFyZXBvaW50LmNvbS86bzovZy9wZXJzb25hbC9id2FsdGVyc19sZ2xrX2NvbS9FaDdMbGgweEFMaEJoM1FrdXk5OFRLb0JPN09POGhoXzd0dFZFcW56WWR1YkNBP3J0aW1lPVN3cWtEVjhuMkVn&amp;cid=2ae6d679-a1b4-4b0f-a76a-46e32d437c42,phishing
https://www.jillyclark.com/background.html,benign
http://email302.com/l/5fc15ea15e66c082e33c48babd5a8ff601a799e6/[email?????????????????????????????????????????????????????????????????protected]tageapp.com/-/www.paypal.com/cgi-bin/,phishing
http://www.formbuddy.com/cgi-bin/formdisp.pl?u=Twice&amp;f=LLM,phishing
https://www.portofbrownsville.com/about/harbor-master-office/,benign
https://buildingcorp.com.au/wp-admin/ty/,phishing
https://www.onlineservicefree.club/landingpage/dd263864-38a2-466a-be2f-4e5ec6c5e042/-2TxMqcOA-OhcCJ61bO8_oiYnK4c3EHuOvQ-HFC6T5E,phishing
https://www.anvitrade.cz/images/fb.svg,benign
https://www.cabreraauto.com/new-cadillac-xt6-arecibo-pr,benign
http://cooperwalinski.com/2021/01/22/3-types-of-fitness-programs-for-patients-with-severe-lower-limb-arthritis/,benign
https://olx.pl-getpost.work/confirmation/payout/650927241,phishing
https://www.gyropalacemerrick.com/assets/favicon/safari-pinned-tab-c09e97d664f82a07a74ebf57eb221d2d1fbf46a3d53345d334f06825f9349d2f.svg,benign
https://signinlogin007.wixsite.com/my-site,phishing
https://www.airsprung-group.co.uk/,benign
https://www.akvalis.com/services/sajtfon/,benign
https://info-dati-riepilogo.000webhostapp.com/,phishing
http://update.amazon.shopppy.xyz/mobile/homepage/,phishing
https://www.capdrill.com/services/exploration-drilling,benign
http://dhi.it/tlajiqfe/ygffbfbq.html?mejlnyzcabb.php?qme2,phishing
https://www.wcloudus.com/about-white-cloud.html,benign
http://timeline-1242785355.surfshop.ma/connect.html,phishing
https://www.oade.com/Tapers_Section/faq-mic.html,benign
https://www.sapphirek12.com/software/learning-management-system/,benign
http://globalskillspark.com/put//alldomain/alldomain/index.php?email=a@b.com,phishing
https://www.philipwilliams.co.uk/Home,benign
https://www.msctrustgate.com/IDCenter.php,benign
https://www.gamma-service.it/news/,benign
https://situs-pemulihan05.webnode.com/,phishing
https://www.afxindustries.com/,benign
https://www.proclinical.com/about-proclinical,benign
http://www.psmkreditsyari.com/wp-content/plugins/js_composer/include/templates/shortcodes/web/home/,phishing
https://www.ilandcloud.com/services/locations/,benign
https://www.chardonnay.com/public-charters/champagne-brunch-charter/,benign
https://rotanterproclanic.live/wingdoughtmanter/mazon/fdefa,phishing
https://www.ldd.ca/real-estate,benign
