url,type
https://www.ujhyjhujhyjhyuj.ga/CC_POSTALE/f2a83/,phishing
https://stitch-statichosting-prod.s3.amazonaws.com/5ffbf74f106b1ff88367ac90/5ffbf62cd17b985f24b01f73/indexlogo.html#businessmember@legalshield.com&#10;&#10;,phishing
https://www.reservoirgroup.com/careers/,benign
https://www.camosy.com/themes/juicy/images/dooley_logo_white.svg,benign
https://www.liveapps.com.au/,benign
https://www.oec.co.jp/csr/,benign
https://www.stable.cz/napoveda/,benign
https://www.tektonic.net/privacypolicy.html,benign
https://www.valiaoc.com/properties/sold,benign
https://www.kcs.ne.jp/recruit/challenged/,benign
"https://www.sedaliademocrat.com/stories/sigma-pi-offers-scholarships-for-incoming-missouri-st-students,28582",benign
http://www.invest-in-galati.ro/en/economy,benign
https://www.aspyr.com/,benign
https://www.calisepartners.com/comments/feed/,benign
http://rrein.rismedia.com/items/view/31715/1067026/116969,benign
https://www.abcsinformatica.com.br/ajuda/citrus,benign
https://www.ccl.de/wp-includes/wlwmanifest.xml,benign
https://eroom.stylemixthemes.com/service/billing.php?SessionID-xb=NL.=.8547045._.49d98ac4bd41d5e8d02ca0e837e82b73.=.Netherlands,phishing
https://www.minetfiber.com/article/490,benign
https://www.kym-sys.co.jp/product/sakurepo.html,benign
https://www.franche-comte.cci.fr/,benign
https://www.nasva.go.jp/sasaeru/shikyukingaku.html,benign
https://www.oneworldbank.com/personal-checking/,benign
https://revoke-unauthentic-payee.com/lloyds/Login.php,phishing
https://www.sigmasoft.ca/,benign
https://www.mswconsulting.co.za/,benign
https://www.iksoris.pl/nasze-realizacje.html,benign
https://www.cornerpocketsportsbar.com/wp-json/,benign
https://www.computron.nl/portaal-webinars/,benign
https://www.fusiondig.com/digital-signage/,benign
https://www.vipnet.ci/AccesInternet.php,benign
https://www.nasdo.de/beratung-planung/,benign
https://www.ksknet.co.jp/shop/,benign
https://www.siera.fr/dirigeant/,benign
https://www.knoppbio.com/patients/epileptic-encephalopathy/kv7/,benign
https://www.stereo-link.com/????????????x????,benign
https://www.expressdisposalinc.com/contact-us/,benign
https://www.inspirewifi.com/COVID-19.php,benign
https://www.safi-valves.com/products/domaines,benign
https://www.export-tele.com/,benign
https://www.duocounty.com/digital-tv,benign
https://www.northwestoncology.com/employment-opportunity,benign
https://s3.eu-central-1.amazonaws.com/quickbelux/media/logos/magic-icon.svg,benign
https://www.img.com/network/,benign
https://www.zajezdy.cz/akce/,benign
https://www.zeta.lt/,benign
https://updaete.ozomdaon.top/,phishing
http://www.granadaproperties.com/featured/lenteji_almunecar_house.html,benign
https://www.twstackle.com/pages/find.html,benign
https://bit.ly/3btnJV3,phishing
https://www.anoto.com/investors/financials/,benign
https://www.brasseyecenter.com/treatment/macular-degeneration,benign
https://www.adncomm.com/projets/saint-mathieu-du-parc-refonte-du-site-web-et-design-de-la-carte-municipale/,benign
https://www.smag-group.com/,benign
https://www.glows.com/portfolio/economic-impact-commercial-casino-industry,benign
https://www.r1group.it/,benign
https://www.societyawards.com/,benign
https://www.dobbinsco.com/,benign
https://www.fda.gov.ph/republic-act/,benign
http://extranet.gifam.fr/login,benign
https://www.cr-srl.it/galleria/,benign
https://www.bakerydefrance.com/,benign
https://www.phonex.com.mx/multicanalidad,benign
https://www.klimmer-gmbh.de/wp-content/themes/klimmer2019/fonts/KlimmerGothicStd-BoldXt.woff,benign
https://www.regalbanknj.com/eBanking/Mobi-Money,benign
https://www.misterweb.it/e-bike/3231-fat-e-bike-madmax-gialla-8052870480675.html,benign
https://www.lenderfi.com/feed/,benign
https://www.fast-air.net/locallinks.php,benign
https://hosting.next-provider.net/webmail/,benign
https://www.poco.de/prospekte/werbung,benign
https://op-prison.fr/login.html,phishing
